,id,early_default,return
0,1,1,-0.01498227206615662
1,2,1,0.011427580519725916
2,3,0,0.04385144761267497
3,4,0,-0.0445376791929327
4,5,0,0.01761710136166561
5,6,0,0.01501566963436202
6,7,0,-0.015173648043318949
7,8,1,0.03527561186008521
8,9,0,0.022287472892013882
9,10,1,0.023362797988826952
10,11,0,-0.031934566132666146
11,12,0,-0.019022977689893538
12,13,0,0.011388244080397788
13,14,0,0.019315807192941042
14,15,1,0.018750999961045362
15,16,0,0.012969894697896604
16,17,1,0.016359535338368397
17,18,1,-0.012738582283654033
18,19,0,-0.009216393053177256
19,20,1,-0.017760059044751714
20,21,1,0.05400480637159543
21,22,1,0.018797836289937295
22,23,1,0.029436421643230192
23,24,1,0.02674257959659369
24,25,0,0.028683071262089178
25,26,0,0.03367182387943415
26,27,0,0.018870631431173082
27,28,1,-0.054250660582217856
28,29,1,0.009108924693962364
29,30,1,0.024494021076265457
30,31,0,0.014494424339757605
31,32,0,0.041357091190017514
32,33,0,-0.038506467362012485
33,34,1,0.02782119812002261
34,35,0,0.038894426168762014
35,36,0,0.031094321160475648
36,37,1,0.02293562197356935
37,38,0,-0.007228642498524789
38,39,1,0.025038493284734682
39,40,1,0.051689770940589075
40,41,0,-0.005685215518055876
41,42,0,0.015931033168800745
42,43,1,0.009873231482712984
43,44,0,0.05927581403784893
44,45,0,0.01399511644648567
45,46,1,-0.0038331573924129127
46,47,1,0.05297299557834769
47,48,0,-0.0223273587002122
48,49,1,0.01751344213717091
49,50,1,-0.020377039378696775
50,51,1,-0.04877089674324138
51,52,0,0.02831749993891715
52,53,0,0.04318529859278135
53,54,1,0.03358102803413601
54,55,0,-0.018994310634639872
55,56,0,0.024749853120269377
56,57,0,0.0013704916390098409
57,58,1,0.00718635842869463
58,59,0,0.006966865596472172
59,60,0,0.03534867002748804
60,61,1,-0.008683238913947063
61,62,0,0.02474657791597182
62,63,0,-0.0020645940584008197
63,64,1,0.008159193127024523
64,65,0,-0.025184619777501183
65,66,1,0.01694283749178716
66,67,1,0.018763024626859075
67,68,1,0.025770781696057846
68,69,0,0.07472820853373169
69,70,1,0.002924720988253971
70,71,1,0.009379886403278212
71,72,1,0.020379643683473246
72,73,1,-0.018495729181423497
73,74,0,-0.028755406892008305
74,75,1,0.03323050468836938
75,76,1,0.017677406735059402
76,77,1,-0.021475344798581607
77,78,1,0.035827746020187075
78,79,0,0.014206668994104723
79,80,1,0.005569028042904593
80,81,1,0.010238767032028875
81,82,1,-0.01085433932327273
